1/1/2018,UA,1615,IAH,ATL,1950,201,2251,184,85,689,0,0,132,0,52
1/1/2018,UA,1612,IAH,PHL,1822,43,2236,29,165,1325,29,0,0,0,0
1/1/2018,UA,1611,ORD,EWR,1430,3,1742,30,92,719,0,0,30,0,0
1/1/2018,UA,1601,MCO,EWR,1550,98,1838,62,112,937,0,0,5,0,57
1/1/2018,UA,1584,EWR,SFO,1715,47,2041,50,335,2565,47,0,3,0,0
1/1/2018,UA,1556,SFO,IAH,1457,49,2043,19,176,1635,14,0,0,0,5
1/1/2018,UA,1551,EWR,PDX,1836,69,2148,85,319,2434,69,0,16,0,0
1/1/2018,UA,1538,EWR,PBI,1335,-5,1634,24,162,1023,0,0,24,0,0
1/1/2018,UA,1536,AUS,IAH,1215,11,1319,21,35,140,11,0,10,0,0
1/1/2018,UA,1530,CLE,EWR,802,256,940,265,72,404,0,256,9,0,0
1/1/2018,UA,1527,EWR,MCO,1159,96,1454,106,149,937,96,0,10,0,0
1/1/2018,UA,1510,ORD,EWR,1035,114,1345,101,91,719,0,0,33,0,68
1/1/2018,UA,1500,SFO,PDX,1403,21,1556,18,80,550,14,0,0,0,4
1/1/2018,UA,1496,EWR,MIA,2105,35,16,48,156,1085,35,0,13,0,0
1/1/2018,UA,1485,EWR,CHS,2110,39,2329,42,96,628,39,0,3,0,0
1/1/2018,UA,1469,EWR,BOS,2020,34,2139,34,40,200,34,0,0,0,0
1/1/2018,UA,1439,SFO,ORD,1211,174,1825,167,203,1846,27,0,0,0,140
1/1/2018,UA,1429,IAH,AUS,1620,30,1722,16,26,140,0,0,0,0,16
1/1/2018,UA,1425,SAN,SFO,615,14,757,37,69,447,14,0,23,0,0
1/1/2018,UA,1407,SAN,EWR,725,-8,1544,30,265,2425,0,0,30,0,0
1/1/2018,UA,1298,DEN,TUS,1152,36,1352,24,89,639,0,0,0,0,24
1/1/2018,UA,1291,EWR,SAV,1900,65,2130,66,110,708,65,0,1,0,0
1/1/2018,UA,1289,SAN,LAX,715,-2,830,38,24,109,0,0,38,0,0
1/1/2018,UA,1286,EWR,AVL,1512,47,1715,56,98,583,0,0,9,0,47
1/1/2018,UA,1284,IAH,LGA,1805,52,2233,22,163,1416,4,0,0,0,18
1/1/2018,UA,1284,SAN,IAH,1005,123,1516,111,153,1303,0,0,0,0,111
1/1/2018,UA,1278,EWR,TPA,1330,154,1631,160,159,997,12,0,6,0,142
1/1/2018,UA,1263,ORD,SEA,1918,72,2202,30,216,1721,0,30,0,0,0
1/1/2018,UA,1249,OMA,ORD,515,41,657,70,72,416,41,0,29,0,0
1/1/2018,UA,1223,ORD,BOS,1919,121,2237,110,105,867,4,0,0,0,106
1/1/2018,UA,1213,ORD,SFO,1558,218,1839,192,233,1846,2,0,0,0,190
1/1/2018,UA,1202,MCO,EWR,1259,265,1541,244,115,937,0,0,82,0,162
1/1/2018,UA,1199,LAX,ORD,1015,44,1624,18,199,1744,8,0,0,0,10
1/1/2018,UA,1192,IAH,IAD,1210,46,1608,16,130,1190,16,0,0,0,0
1/1/2018,UA,1186,ORD,LAX,2120,123,2355,90,214,1744,3,0,0,0,87
1/1/2018,UA,1180,ORD,MCO,1750,297,2132,284,125,1005,14,0,0,0,270
1/1/2018,UA,1171,CLE,LAX,1917,3,2148,20,279,2052,0,0,20,0,0
1/1/2018,UA,1168,SFO,PHX,1352,64,1651,64,89,651,0,0,0,0,64
1/1/2018,UA,1167,LGA,IAH,1820,58,2133,18,188,1416,18,0,0,0,0
1/1/2018,UA,1165,EWR,LAX,2159,58,120,17,319,2454,17,0,0,0,0
1/1/2018,UA,1160,IAH,ORD,1218,53,1458,40,124,925,40,0,0,0,0
1/1/2018,UA,1151,ORD,IAD,2110,89,2354,82,78,588,82,0,0,0,0
1/1/2018,UA,1149,EWR,MCO,2155,31,43,36,137,937,31,0,5,0,0
1/1/2018,UA,1143,IAH,SNA,1946,2,2121,36,222,1346,0,0,36,0,0
1/1/2018,UA,1125,IAH,EWR,1620,1,2055,15,177,1400,0,0,15,0,0
1/1/2018,UA,1112,ORD,SNA,935,14,1203,23,234,1726,0,14,9,0,0
1/1/2018,UA,1102,DTW,EWR,845,9,1032,15,67,488,9,0,6,0,0
1/1/2018,UA,1076,RSW,EWR,2006,157,2302,125,127,1068,5,0,0,0,120
1/1/2018,UA,1062,EWR,ORD,1512,28,1649,15,108,719,3,0,0,0,12
1/1/2018,UA,1027,LAX,ORD,1300,49,1914,24,203,1744,1,0,0,0,23
1/1/2018,UA,994,EWR,BOS,2135,10,2245,41,44,200,10,0,31,0,0
1/1/2018,UA,992,EWR,PBI,1513,7,1815,22,170,1023,0,1,15,0,6
1/1/2018,UA,980,IAD,DEN,1730,100,1923,79,195,1452,0,0,0,0,79
1/1/2018,UA,976,CLE,ORD,1531,19,1604,15,57,316,6,0,0,0,9
1/1/2018,UA,964,ORD,RIC,1748,31,2049,53,82,642,31,0,22,0,0
1/1/2018,UA,943,SFO,LAS,1500,107,1638,90,58,414,3,0,0,0,87
1/1/2018,UA,927,ORD,LAX,830,30,1113,19,233,1744,0,0,19,0,0
1/1/2018,UA,922,FLL,SFO,633,57,1003,38,354,2584,38,0,0,0,0
1/1/2018,UA,904,EWR,MSY,2110,20,2337,24,175,1167,20,0,4,0,0
1/1/2018,UA,878,IAH,MSP,1955,37,2247,24,139,1034,2,0,0,0,22
1/1/2018,UA,841,SJU,ORD,1510,24,1810,24,273,2072,10,0,0,0,14
1/1/2018,UA,832,FLL,IAH,1455,88,1654,74,138,966,74,0,0,0,0
1/1/2018,UA,832,IAH,LAX,1810,33,2002,25,196,1379,25,0,0,0,0
1/1/2018,UA,805,SFO,PDX,835,103,1028,97,83,550,0,97,0,0,0
1/1/2018,UA,801,EWR,PBI,1655,46,1956,44,150,1023,4,0,0,0,40
1/1/2018,UA,793,DFW,ORD,1235,126,1458,116,110,802,4,0,0,0,112
1/1/2018,UA,792,ATL,EWR,1555,-6,1816,39,120,746,0,0,39,0,0
1/1/2018,UA,790,ORD,BOS,1750,-1,2109,16,112,867,0,0,16,0,0
1/1/2018,UA,788,BOS,SFO,810,66,1155,31,350,2704,0,31,0,0,0
1/1/2018,UA,783,LAX,IAD,1757,45,146,22,247,2288,22,0,0,0,0
1/1/2018,UA,780,ORD,CLE,1600,58,1819,51,48,316,0,0,0,0,51
1/1/2018,UA,772,PHX,DEN,1737,51,1924,39,80,602,0,0,0,0,39
1/1/2018,UA,762,IAD,IAH,820,-2,1048,84,185,1190,0,0,84,0,0
1/1/2018,UA,755,EWR,ORD,1330,93,1503,85,112,719,42,0,0,0,43
1/1/2018,UA,748,IAH,EWR,1210,56,1637,33,166,1400,0,0,0,0,33
1/1/2018,UA,746,SFO,EWR,1300,16,2128,24,296,2565,16,0,8,0,0
1/1/2018,UA,743,ORD,SFO,1742,145,2021,123,230,1846,0,0,0,0,123
1/1/2018,UA,728,SFO,ORD,1000,181,1613,184,208,1846,0,0,3,0,181
1/1/2018,UA,727,SFO,IAD,1300,24,2105,16,261,2419,5,0,0,0,11
1/1/2018,UA,722,MIA,EWR,2004,95,2310,68,139,1085,1,0,0,0,67
1/1/2018,UA,720,SFO,DEN,1457,183,1831,168,113,967,16,0,0,0,152
1/1/2018,UA,719,IAD,LAX,1906,-2,2200,15,314,2288,0,0,15,0,0
1/1/2018,UA,713,JAX,EWR,1255,200,1520,182,97,820,0,0,19,0,163
1/1/2018,UA,704,IAH,EWR,1832,73,2255,66,174,1400,5,0,0,0,61
1/1/2018,UA,702,ORD,CLE,1751,-3,2010,33,48,316,0,0,33,0,0
1/1/2018,UA,700,SAN,LAX,1040,32,1148,20,24,109,0,0,0,0,20
1/1/2018,UA,688,ORD,BNA,2113,37,2245,24,56,409,0,14,0,0,10
1/1/2018,UA,687,EWR,IAH,1550,125,1850,111,200,1400,48,0,0,0,63
1/1/2018,UA,686,MCO,EWR,1133,39,1410,40,136,937,31,0,1,0,8
